//Item key;item id;item meta;label (indicative only)
//This file is auto-generated and indicative only. Don't edit it.

gunpowder;minecraft:gunpowder;0;Порох
ikayaki;millenaire:item.ml_ikayaki;0;item.ml_ikayaki.name
indianstatue;millenaire:item.ml_indianstatue;0;item.ml_indianstatue.name
iron;minecraft:iron_ingot;0;Железный слиток
ironore;minecraft:iron_ore;0;Железная руда
japaneseguardboots;millenaire:item.ml_japaneseGuardBoots;0;item.ml_japaneseGuardBoots.name
japaneseguardhelmet;millenaire:item.ml_japaneseGuardHelmet;0;item.ml_japaneseGuardHelmet.name
japaneseguardlegs;millenaire:item.ml_japaneseGuardLegs;0;item.ml_japaneseGuardLegs.name
japaneseguardplate;millenaire:item.ml_japaneseGuardPlate;0;item.ml_japaneseGuardPlate.name
japanesewarriorblueboots;millenaire:item.ml_japaneseWarriorBlueBoots;0;item.ml_japaneseWarriorBlueBoots.name
japanesewarriorbluehelmet;millenaire:item.ml_japaneseWarriorBlueHelmet;0;item.ml_japaneseWarriorBlueHelmet.name
japanesewarriorbluelegs;millenaire:item.ml_japaneseWarriorBlueLegs;0;item.ml_japaneseWarriorBlueLegs.name
japanesewarriorblueplate;millenaire:item.ml_japaneseWarriorBluePlate;0;item.ml_japaneseWarriorBluePlate.name
japanesewarriorredboots;millenaire:item.ml_japaneseWarriorRedBoots;0;item.ml_japaneseWarriorRedBoots.name
japanesewarriorredhelmet;millenaire:item.ml_japaneseWarriorRedHelmet;0;item.ml_japaneseWarriorRedHelmet.name
japanesewarriorredlegs;millenaire:item.ml_japaneseWarriorRedLegs;0;item.ml_japaneseWarriorRedLegs.name
japanesewarriorredplate;millenaire:item.ml_japaneseWarriorRedPlate;0;item.ml_japaneseWarriorRedPlate.name
lambcooked;millenaire:item.ml_lamb_cooked;0;item.ml_lamb_cooked.name
lambraw;millenaire:item.ml_lamb_raw;0;item.ml_lamb_raw.name
leather;minecraft:leather;0;Кожа
leatherboots;minecraft:leather_boots;0;Кожаные ботинки
leatherchest;minecraft:leather_chestplate;0;Кожаная куртка
leatherhelmet;minecraft:leather_helmet;0;Кожаный шлем
leatherlegs;minecraft:leather_leggings;0;Кожаные штаны
maize;millenaire:item.ml_maize;0;item.ml_maize.name
masa;millenaire:item.ml_masa;0;item.ml_masa.name
mayanaxe;millenaire:item.ml_mayanAxe;0;item.ml_mayanAxe.name
mayangold;millenaire:tile.ml_stone_deco;2;tile.ml_stone_deco.2.name
mayanhoe;millenaire:item.ml_mayanHoe;0;item.ml_mayanHoe.name
mayanmace;millenaire:item.ml_mayanMace;0;item.ml_mayanMace.name
mayanpickaxe;millenaire:item.ml_mayanPickaxe;0;item.ml_mayanPickaxe.name
mayanquestcrown;millenaire:item.ml_mayanQuestCrown;0;item.ml_mayanQuestCrown.name
mayanshovel;millenaire:item.ml_mayanShovel;0;item.ml_mayanShovel.name
mayanstatue;millenaire:item.ml_mayanstatue;0;item.ml_mayanstatue.name
melonseeds;minecraft:melon_seeds;0;Семена арбуза
melonslice;minecraft:melon;0;Арбуз
mudbrick;millenaire:tile.ml_stone_deco;1;tile.ml_stone_deco.1.name
mushroombrown;minecraft:brown_mushroom;0;Гриб
mushroomred;minecraft:red_mushroom;0;Гриб
netherwart;minecraft:nether_wart;0;Адский нарост
normanaxe;millenaire:item.ml_normanAxe;0;item.ml_normanAxe.name
normanboots;millenaire:item.ml_normanBoots;0;item.ml_normanBoots.name
normanbroadsword;millenaire:item.ml_normanBroadsword;0;item.ml_normanBroadsword.name
normanchest;millenaire:item.ml_normanPlate;0;item.ml_normanPlate.name
normanhelmet;millenaire:item.ml_normanHelmet;0;item.ml_normanHelmet.name
normanhoe;millenaire:item.ml_normanHoe;0;item.ml_normanHoe.name
normanlegs;millenaire:item.ml_normanLegs;0;item.ml_normanLegs.name
normanpickaxe;millenaire:item.ml_normanPickaxe;0;item.ml_normanPickaxe.name
normanshovel;millenaire:item.ml_normanShovel;0;item.ml_normanShovel.name
obsidian;minecraft:obsidian;0;Обсидиан
obsidianflake;millenaire:item.ml_obsidianFlake;0;item.ml_obsidianFlake.name
painting;minecraft:painting;0;Картина
paper;minecraft:paper;0;Бумага
paperwall;millenaire:tile.ml_panes;0;tile.ml_panes.name
parchmentbuildings;millenaire:item.ml_parchmentBuildings;0;item.ml_parchmentBuildings.name
parchmentcomplete;millenaire:item.ml_marchmentComplete;0;item.ml_marchmentComplete.name
parchmentindianbuildings;millenaire:item.ml_parchmentIndianBuildings;0;item.ml_parchmentIndianBuildings.name
parchmentindiancomplete;millenaire:item.ml_marchmentIndianComplete;0;item.ml_marchmentIndianComplete.name
parchmentindianitems;millenaire:item.ml_parchmentIndianItems;0;item.ml_parchmentIndianItems.name
parchmentindianvillagers;millenaire:item.ml_parchmentIndianVillagers;0;item.ml_parchmentIndianVillagers.name
parchmentitems;millenaire:item.ml_parchmentItems;0;item.ml_parchmentItems.name
parchmentjapanesebuildings;millenaire:item.ml_parchmentJapaneseBuildings;0;item.ml_parchmentJapaneseBuildings.name
parchmentjapanesecomplete;millenaire:item.ml_parchmentJapaneseComplete;0;item.ml_parchmentJapaneseComplete.name
parchmentjapaneseitems;millenaire:item.ml_parchmentJapaneseItems;0;item.ml_parchmentJapaneseItems.name
parchmentjapanesevillagers;millenaire:item.ml_parchmentJapaneseVillagers;0;item.ml_parchmentJapaneseVillagers.name
parchmentmayanbuildings;millenaire:item.ml_parchmentMayanBuildings;0;item.ml_parchmentMayanBuildings.name
parchmentmayancomplete;millenaire:item.ml_parchmentMayanComplete;0;item.ml_parchmentMayanComplete.name
parchmentmayanitems;millenaire:item.ml_parchmentMayanItems;0;item.ml_parchmentMayanItems.name
parchmentmayanvillagers;millenaire:item.ml_parchmentMayanVillagers;0;item.ml_parchmentMayanVillagers.name
parchmentsadhu;millenaire:item.ml_parchmentSadhu;0;item.ml_parchmentSadhu.name
parchmentvillagers;millenaire:item.ml_parchmentVillagers;0;item.ml_parchmentVillagers.name
pathdirt;millenaire:tile.ml_path;0;tile.ml_path.0.name
pathdirt_slab;millenaire:tile.ml_path_slab;0;tile.ml_path_slab.0.name
pathdirt_slab_stable;millenaire:tile.ml_path_slab;8;tile.ml_path_slab.8.name
pathdirt_stable;millenaire:tile.ml_path;8;tile.ml_path.8.name
pathgravel;millenaire:tile.ml_path;1;tile.ml_path.1.name
pathgravel_slab;millenaire:tile.ml_path_slab;1;tile.ml_path_slab.1.name
pathgravel_slab_stable;millenaire:tile.ml_path_slab;9;tile.ml_path_slab.9.name
pathgravel_stable;millenaire:tile.ml_path;9;tile.ml_path.9.name
pathgravelslabs;millenaire:tile.ml_path;5;tile.ml_path.5.name
pathgravelslabs_slab;millenaire:tile.ml_path_slab;5;tile.ml_path_slab.5.name
pathgravelslabs_slab_stable;millenaire:tile.ml_path_slab;13;tile.ml_path_slab.13.name
pathgravelslabs_stable;millenaire:tile.ml_path;13;tile.ml_path.13.name
pathochretiles;millenaire:tile.ml_path;4;tile.ml_path.4.name
pathochretiles_slab;millenaire:tile.ml_path_slab;4;tile.ml_path_slab.4.name
pathochretiles_slab_stable;millenaire:tile.ml_path_slab;12;tile.ml_path_slab.12.name
pathochretiles_stable;millenaire:tile.ml_path;12;tile.ml_path.12.name
pathsandstone;millenaire:tile.ml_path;3;tile.ml_path.3.name
pathsandstone_slab;millenaire:tile.ml_path_slab;3;tile.ml_path_slab.3.name
pathsandstone_slab_stable;millenaire:tile.ml_path_slab;11;tile.ml_path_slab.11.name
pathsandstone_stable;millenaire:tile.ml_path;11;tile.ml_path.11.name
pathslabs;millenaire:tile.ml_path;2;tile.ml_path.2.name
pathslabs_slab;millenaire:tile.ml_path_slab;2;tile.ml_path_slab.2.name
pathslabs_slab_stable;millenaire:tile.ml_path_slab;10;tile.ml_path_slab.10.name
pathslabs_stable;millenaire:tile.ml_path;10;tile.ml_path.10.name
planks_birch;minecraft:planks;2;Берёзовые доски
planks_jungle;minecraft:planks;3;Доски из тропического дерева
planks_oak;minecraft:planks;0;Дубовые доски
planks_pine;minecraft:planks;1;Еловые доски
porkchops;minecraft:porkchop;0;Сырая свинина
porkchopscooked;minecraft:cooked_porkchop;0;Жареная свинина
potato;minecraft:potato;0;Картофель
pumpkin;minecraft:pumpkin;0;Тыква
pumpkinseeds;minecraft:pumpkin_seeds;0;Семена тыквы
purse;millenaire:item.ml_purse;0;item.ml_purse.name
rasgulla;millenaire:item.ml_rasgullaId;0;item.ml_rasgullaId.name
redflower;minecraft:red_flower;0;Мак
redstone;minecraft:redstone;0;Красная пыль
rice;millenaire:item.ml_rice;0;item.ml_rice.name
rottenflesh;minecraft:rotten_flesh;0;Гнилая плоть
saddle;minecraft:saddle;0;Седло
sake;millenaire:item.ml_sake;0;item.ml_sake.name
sand;minecraft:sand;0;Песок
sandstone;minecraft:sandstone;0;Песчаник
sapling;minecraft:sapling;0;Саженец дуба
sapling_birch;minecraft:sapling;2;Саженец берёзы
sapling_jungle;minecraft:sapling;3;Саженец тропического дерева
sapling_pine;minecraft:sapling;1;Саженец ели
seeds;minecraft:wheat_seeds;0;Семена пшеницы
shears;minecraft:shears;0;Ножницы
silk;millenaire:item.ml_silk;0;item.ml_silk.name
silkwormblockempty;millenaire:tile.ml_wood_deco;3;tile.ml_wood_deco.3.name
silkwormblockfull;millenaire:tile.ml_wood_deco;4;tile.ml_wood_deco.4.name
skollhatiamulet;millenaire:item.ml_skoll_hati_amulet;0;item.ml_skoll_hati_amulet.name
slimeball;minecraft:slime_ball;0;Сгусток слизи
snow;minecraft:snow;0;Снег
souvlaki;millenaire:item.ml_souvlaki;0;item.ml_souvlaki.name
spidereye;minecraft:spider_eye;0;Паучий глаз
steelaxe;minecraft:iron_axe;0;Железный топор
steelboots;minecraft:iron_boots;0;Железные ботинки
steelchest;minecraft:iron_chestplate;0;Железный нагрудник
steelhelmet;minecraft:iron_helmet;0;Железный шлем
steelhoe;minecraft:iron_hoe;0;Железная мотыга
steellegs;minecraft:iron_leggings;0;Железные поножи
steelpickaxe;minecraft:iron_pickaxe;0;Железная кирка
steelshovel;minecraft:iron_shovel;0;Железная лопата
steelsword;minecraft:iron_sword;0;Железный меч
stone;minecraft:stone;0;Камень
stoneaxe;minecraft:stone_axe;0;Каменный топор
stonebrick;minecraft:stonebrick;0;Каменные кирпичи
stonehoe;minecraft:stone_hoe;0;Каменная мотыга
stonepickaxe;minecraft:stone_pickaxe;0;Каменная кирка
stoneshovel;minecraft:stone_shovel;0;Каменная лопата
stonesword;minecraft:stone_sword;0;Каменный меч
string;millenaire:item.ml_silk;0;item.ml_silk.name
sugarcane;minecraft:reeds;0;Сахарный тростник
tachisword;millenaire:item.ml_taichiSword;0;item.ml_taichiSword.name
tapestry;millenaire:item.ml_tapestry;0;item.ml_tapestry.name
thatched;millenaire:tile.ml_wood_deco;2;tile.ml_wood_deco.2.name
timberframe_cross;millenaire:tile.ml_wood_deco;1;tile.ml_wood_deco.1.name
timberframe_plain;millenaire:tile.ml_wood_deco;0;tile.ml_wood_deco.0.name
tnt;minecraft:tnt;0;Динамит
tripes;millenaire:item.ml_tripes;0;item.ml_tripes.name
turmeric;millenaire:item.ml_turmeric;0;item.ml_turmeric.name
udon;millenaire:item.ml_udon;0;item.ml_udon.name
unknownpowder;millenaire:item.ml_unknownPowder;0;item.ml_unknownPowder.name
vegcurry;millenaire:item.ml_vegcurry;0;item.ml_vegcurry.name
villagewand;millenaire:item.ml_villageWand;0;item.ml_villageWand.name
vines;minecraft:vine;0;Лоза
vishnuamulet;millenaire:item.ml_raven_amulet;0;item.ml_raven_amulet.name
wah;millenaire:item.ml_wah;0;item.ml_wah.name
wheat;minecraft:wheat;0;Пшеница
wine;millenaire:item.ml_wine;0;item.ml_wine.name
winebasic;millenaire:item.ml_wine_basic;0;item.ml_wine_basic.name
wood;minecraft:log;0;
wood_any;minecraft:log;-1;
wood_birch;minecraft:log;2;
wood_jungle;minecraft:log;3;
wood_oak;minecraft:log;0;
wood_pine;minecraft:log;1;
woodaxe;minecraft:wooden_axe;0;Деревянный топор
woodhoe;minecraft:wooden_hoe;0;Деревянная мотыга
woodpickaxe;minecraft:wooden_pickaxe;0;Деревянная кирка
woodshovel;minecraft:wooden_shovel;0;Деревянная лопата
woodsword;minecraft:wooden_sword;0;Деревянный меч
wool_black;minecraft:wool;15;Черная шерсть
wool_blue;minecraft:wool;11;Синяя шерсть
wool_brown;minecraft:wool;12;Коричневая шерсть
wool_cyan;minecraft:wool;9;Бирюзовая шерсть
wool_gray;minecraft:wool;7;Серая шерсть
wool_green;minecraft:wool;13;Зеленая шерсть
wool_lightblue;minecraft:wool;3;Голубая шерсть
wool_lightgray;minecraft:wool;8;Светло-серая шерсть
wool_limegreen;minecraft:wool;5;Лаймовая шерсть
wool_magenta;minecraft:wool;2;Пурпурная шерсть
wool_orange;minecraft:wool;1;Оранжевая шерсть
wool_pink;minecraft:wool;6;Розовая шерсть
wool_purple;minecraft:wool;10;Фиолетовая шерсть
wool_red;minecraft:wool;14;Красная шерсть
wool_white;minecraft:wool;0;Шерсть
wool_yellow;minecraft:wool;4;Желтая шерсть
yddrasilamulet;millenaire:item.ml_yddrasil_amulet;0;item.ml_yddrasil_amulet.name
yellowflower;minecraft:yellow_flower;0;Одуванчик
yumibow;millenaire:item.ml_yumiBow;0;item.ml_yumiBow.name
